
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;
26,198382;0,1231;0,5687;0,7876;204,9344;-35,5042;8,8846;
26,299022;0,1652;0,5492;0,7427;203,8854;-34,4672;9,6837;
26,399861;0,0635;0,6293;0,7554;208,1171;-39,6991;4,8065;
26,500533;0,0694;0,6635;0,6586;207,3710;-45,0541;6,0128;
26,601171;0,0713;0,7192;0,6557;208,1172;-48,0288;4,5984;
26,701025;0,0674;0,7671;0,6196;208,7226;-50,9093;6,2106;
26,802187;0,0606;0,8199;0,6782;209,3342;-51,1545;3,2775;
26,903020;0,0665;0,8297;0,5521;210,9176;-56,1661;4,5796;
27,003462;0,0821;0,8043;0,5140;209,0031;-57,0460;7,3635;
27,104261;-0,0117;0,8228;0,5199;214,7851;-57,5468;-0,6706;
27,204443;-0,0283;0,8688;0,4368;217,2898;-63,2573;-1,8690;
27,305413;0,0244;0,8678;0,3821;215,5061;-66,3762;1,0218;
27,405807;0,0205;0,9088;0,3811;215,1018;-67,2195;1,2937;
27,507028;0,0107;0,8873;0,3586;218,1494;-67,8100;0,5701;
27,607412;0,0225;0,9000;0,3166;218,6773;-70,5735;1,4306;
27,707341;0,0274;0,9284;0,3127;222,5441;-71,4322;0,5411;
27,809220;-0,0020;0,9264;0,2658;224,5599;-72,4391;0,3638;
27,910020;0,0674;0,9616;0,1867;229,1008;-78,3387;4,0110;
28,010458;0,0078;0,9606;0,1906;229,6727;-77,9070;1,5150;
28,110830;0,0039;0,9606;0,2023;230,3279;-78,1062;0,2331;
28,211257;0,0137;0,9626;0,1876;230,7863;-77,7973;1,3998;
28,312212;-0,0107;0,9880;0,1231;238,3490;-82,8692;-0,6234;
28,412126;0,0283;0,9684;0,0567;245,2882;-86,2563;1,6760;
28,513179;0,0205;0,9762;0,0752;241,7873;-84,9606;0,0574;
28,614402;0,0107;0,9596;0,0313;245,9450;-88,0266;0,6419;
28,714090;0,0166;0,9870;0,0440;247,3431;-87,0363;0,2840;
28,815242;0,0059;0,9831;0,0137;250,0066;-89,1336;0,3417;
28,915915;-0,0010;0,9948;0,0313;248,8486;-88,1985;-0,0549;
29,016319;0,0186;0,9948;0,0645;247,4286;-86,8828;0,9527;
29,117407;-0,0078;0,9831;0,0293;254,1369;-88,2323;-0,4555;
29,217571;-0,0303;0,9870;0,1612;245,3613;-80,1012;-2,1442;
29,318846;0,0283;0,9841;0,1994;235,1439;-78,4364;1,6497;
29,418667;-0,0020;0,9606;0,2648;230,2567;-75,3312;-0,1169;
29,519558;0,0010;0,9489;0,2922;230,1276;-72,8849;0,0590;
29,620145;-0,0068;0,9508;0,3010;227,0624;-72,4307;-0,4125;
29,720407;0,0195;0,9391;0,3704;225,7484;-69,0417;-0,1186;
29,821142;-0,0088;0,8756;0,3538;224,2750;-67,9938;-0,5753;
29,922673;0,0068;0,8619;0,4192;224,4269;-64,0171;-1,0334;
30,023290;-0,0264;0,8658;0,4016;222,6955;-65,0671;-1,7455;
30,124108;0,0244;0,8785;0,4808;216,9078;-61,2769;1,5933;
30,224655;0,0342;0,8551;0,5873;216,5351;-56,4904;1,8225;
30,324829;0,0225;0,8072;0,5082;214,4898;-57,7826;1,5948;
30,426054;0,0049;0,7525;0,6108;213,8692;-50,6109;1,1858;
30,527308;0,0547;0,7603;0,6225;211,5732;-50,5825;5,0239;
30,627178;0,0371;0,7613;0,6323;211,8150;-50,1549;3,0418;
30,727175;0,0303;0,7056;0,6157;210,3045;-48,8585;2,8168;
30,828635;0,0430;0,6909;0,6870;207,7664;-45,1064;3,5813;
30,929049;0,0655;0,6254;0,7124;205,3213;-40,5815;4,7120;
31,030118;0,1173;0,6098;0,7964;203,3631;-37,1432;8,3758;
31,130808;0,0811;0,5922;0,8131;203,9040;-35,4315;8,0441;
31,231304;0,0489;0,5678;0,8453;205,4785;-33,8441;3,3083;
31,332542;0,0850;0,5658;0,8746;203,8773;-32,7772;5,5524;
31,435059;0,0684;0,5052;0,8140;203,6054;-32,2434;4,5495;
31,534035;0,0586;0,4407;0,8893;203,5217;-26,3141;3,7720;
31,634774;0,0537;0,4124;0,9479;203,2288;-23,4699;2,8830;
