time;gFx;gFy;gFz;Latitude;Longitude;Speed (m/s);Altitude (m);
17,593576;0,1016;0,3850;1,1649;55,74808833;48,74298167;0,50854558;191,20000000;
17,694215;-0,0254;0,1153;0,9977;55,74808833;48,74298167;0,50854558;191,20000000;
17,794678;0,3293;0,2814;0,6704;55,74808833;48,74298167;0,50854558;191,20000000;
17,895774;0,4095;0,3684;0,6958;55,74808833;48,74298167;0,50854558;191,20000000;
17,996796;0,2375;-0,0166;1,6593;55,74808833;48,74298167;0,50854558;191,20000000;
18,097906;0,5023;0,3225;0,9782;55,74808833;48,74298167;0,50854558;191,20000000;
18,198279;-0,0215;0,3274;0,5814;55,74808833;48,74298167;0,50854558;191,20000000;
18,298939;-0,0938;0,3352;0,7544;55,74808833;48,74298167;0,50854558;191,20000000;
18,399759;-0,0811;0,2140;1,3955;55,74808833;48,74298167;0,50854558;191,20000000;
18,499785;0,0225;0,0743;1,6026;55,74808333;48,74301667;0,44935250;191,20000000;
18,600637;0,4368;0,0977;1,3984;55,74808333;48,74301667;0,44935250;191,20000000;
18,700973;0,2072;0,1388;0,5697;55,74808333;48,74301667;0,44935250;191,20000000;
18,801549;0,5013;0,2941;0,5766;55,74808333;48,74301667;0,44935250;191,20000000;
18,901772;0,4153;0,1065;0,9802;55,74808333;48,74301667;0,44935250;191,20000000;
19,002530;-0,0518;-0,0762;1,8030;55,74808333;48,74301667;0,44935250;191,20000000;
19,102875;0,3635;0,3205;0,8082;55,74808333;48,74301667;0,44935250;191,20000000;
19,203842;-0,0919;0,2013;0,5531;55,74808333;48,74301667;0,44935250;191,20000000;
19,304625;-0,1222;0,4270;0,8199;55,74808333;48,74301667;0,44935250;191,20000000;
19,404420;-0,2697;0,1915;1,5948;55,74808333;48,74301667;0,44935250;191,30000000;
19,506047;-0,0459;-0,0557;1,2811;55,74807833;48,74305167;0,42104277;191,30000000;
19,606495;0,2375;0,0195;0,8697;55,74807833;48,74305167;0,42104277;191,30000000;
19,707257;0,2834;0,1720;0,5639;55,74807833;48,74305167;0,42104277;191,30000000;
19,807960;0,5678;0,3225;0,7505;55,74807833;48,74305167;0,42104277;191,30000000;
19,909192;0,3694;0,1163;1,0877;55,74807833;48,74305167;0,42104277;191,30000000;
20,008604;0,4544;0,0958;1,2763;55,74807833;48,74305167;0,42104277;191,30000000;
20,109401;0,0713;0,1437;0,5453;55,74807833;48,74305167;0,42104277;191,30000000;
